isced11;Country;Year;value
ED0-2;CH;2005;23.7
ED0-2;CH;2006;21.9
ED0-2;CH;2007;21.1
ED0-2;CH;2008;20.4
ED0-2;CH;2009;20.5
ED0-2;CH;2010;21.3
ED0-2;CH;2011;21.4
ED0-2;CH;2012;20.4
ED0-2;CH;2013;19.6
ED0-2;CH;2014;18.7
ED0-2;CH;2015;18.5
ED0-2;CH;2016;18.2
ED0-2;CH;2017;17.8
ED0-2;CH;2018;17.2
ED0-2;CH;2019;16.5
ED0-2;CH0;2005;23.7
ED0-2;CH0;2006;21.9
ED0-2;CH0;2007;21.1
ED0-2;CH0;2008;20.4
ED0-2;CH0;2009;20.5
ED0-2;CH0;2010;21.3
ED0-2;CH0;2011;21.4
ED0-2;CH0;2012;20.4
ED0-2;CH0;2013;19.6
ED0-2;CH0;2014;18.7
ED0-2;CH0;2015;18.5
ED0-2;CH0;2016;18.2
ED0-2;CH0;2017;17.8
ED0-2;CH0;2018;17.2
ED0-2;CH0;2019;16.5
ED0-2;CH01;2005;26
ED0-2;CH01;2006;23.9
ED0-2;CH01;2007;23.4
ED0-2;CH01;2008;22.5
ED0-2;CH01;2009;22.6
ED0-2;CH01;2010;23.9
ED0-2;CH01;2011;24.4
ED0-2;CH01;2012;23.7
ED0-2;CH01;2013;23.1
ED0-2;CH01;2014;22.1
ED0-2;CH01;2015;22.6
ED0-2;CH01;2016;22.7
ED0-2;CH01;2017;21.9
ED0-2;CH01;2018;21.1
ED0-2;CH01;2019;20.5
ED0-2;CH02;2005;24
ED0-2;CH02;2006;21.6
ED0-2;CH02;2007;21
ED0-2;CH02;2008;19.3
ED0-2;CH02;2009;19.7
ED0-2;CH02;2010;21.2
ED0-2;CH02;2011;21.3
ED0-2;CH02;2012;20.8
ED0-2;CH02;2013;19.6
ED0-2;CH02;2014;18.8
ED0-2;CH02;2015;18.3
ED0-2;CH02;2016;18.5
ED0-2;CH02;2017;18.2
ED0-2;CH02;2018;17.2
ED0-2;CH02;2019;16.3
ED0-2;CH03;2005;22.1
ED0-2;CH03;2006;21.3
ED0-2;CH03;2007;20.4
ED0-2;CH03;2008;19.7
ED0-2;CH03;2009;18.9
ED0-2;CH03;2010;20.1
ED0-2;CH03;2011;20.1
ED0-2;CH03;2012;18.6
ED0-2;CH03;2013;17.7
ED0-2;CH03;2014;17.4
ED0-2;CH03;2015;16.6
ED0-2;CH03;2016;17
ED0-2;CH03;2017;17.1
ED0-2;CH03;2018;16.4
ED0-2;CH03;2019;15.7
ED0-2;CH04;2005;20.7
ED0-2;CH04;2006;19.2
ED0-2;CH04;2007;18.3
ED0-2;CH04;2008;18.5
ED0-2;CH04;2009;18.7
ED0-2;CH04;2010;18.9
ED0-2;CH04;2011;18.9
ED0-2;CH04;2012;17.4
ED0-2;CH04;2013;16.9
ED0-2;CH04;2014;16.7
ED0-2;CH04;2015;16.5
ED0-2;CH04;2016;15
ED0-2;CH04;2017;14.5
ED0-2;CH04;2018;14.7
ED0-2;CH04;2019;13.8
ED0-2;CH05;2005;24.5
ED0-2;CH05;2006;22.5
ED0-2;CH05;2007;22
ED0-2;CH05;2008;21.5
ED0-2;CH05;2009;22.8
ED0-2;CH05;2010;22.9
ED0-2;CH05;2011;22.5
ED0-2;CH05;2012;21.2
ED0-2;CH05;2013;20
ED0-2;CH05;2014;18.1
ED0-2;CH05;2015;18.4
ED0-2;CH05;2016;17.9
ED0-2;CH05;2017;17.3
ED0-2;CH05;2018;17.2
ED0-2;CH05;2019;16.6
ED0-2;CH06;2005;25.1
ED0-2;CH06;2006;22.8
ED0-2;CH06;2007;22
ED0-2;CH06;2008;21
ED0-2;CH06;2009;20
ED0-2;CH06;2010;19.6
ED0-2;CH06;2011;19.7
ED0-2;CH06;2012;19.4
ED0-2;CH06;2013;18.7
ED0-2;CH06;2014;17.6
ED0-2;CH06;2015;17.2
ED0-2;CH06;2016;16.5
ED0-2;CH06;2017;15.9
ED0-2;CH06;2018;15.4
ED0-2;CH06;2019;14.6
ED0-2;CH07;2005;25.1
ED0-2;CH07;2006;22.7
ED0-2;CH07;2007;21.6
ED0-2;CH07;2008;21.4
ED0-2;CH07;2009;22.1
ED0-2;CH07;2010;23.2
ED0-2;CH07;2011;22.6
ED0-2;CH07;2012;21.9
ED0-2;CH07;2013;22.1
ED0-2;CH07;2014;21.4
ED0-2;CH07;2015;19.8
ED0-2;CH07;2016;19.7
ED0-2;CH07;2017;19.2
ED0-2;CH07;2018;18.4
ED0-2;CH07;2019;18
ED0-2;CY;2005;36.2
ED0-2;CY;2006;33.6
ED0-2;CY;2007;31.1
ED0-2;CY;2008;30.4
ED0-2;CY;2009;31.2
ED0-2;CY;2010;29.6
ED0-2;CY;2011;28.3
ED0-2;CY;2012;26.4
ED0-2;CY;2013;25.4
ED0-2;CY;2014;26.1
ED0-2;CY;2015;25.5
ED0-2;CY;2016;24
ED0-2;CY;2017;22.9
ED0-2;CY;2018;21.9
ED0-2;CY;2019;21.5
ED0-2;CY0;2005;36.2
ED0-2;CY0;2006;33.6
ED0-2;CY0;2007;31.1
ED0-2;CY0;2008;30.4
ED0-2;CY0;2009;31.2
ED0-2;CY0;2010;29.6
ED0-2;CY0;2011;28.3
ED0-2;CY0;2012;26.4
ED0-2;CY0;2013;25.4
ED0-2;CY0;2014;26.1
ED0-2;CY0;2015;25.5
ED0-2;CY0;2016;24
ED0-2;CY0;2017;22.9
ED0-2;CY0;2018;21.9
ED0-2;CY0;2019;21.5
ED0-2;CY00;2005;36.2
ED0-2;CY00;2006;33.6
ED0-2;CY00;2007;31.1
ED0-2;CY00;2008;30.4
