Year;Country;Genre;ISCED11;Percentage;Employment Rate
2011;SK;M;ED0-2;14.2;72.5
2012;AT;F;ED0-2;25.9;69.6
2012;AT;M;ED0-2;18.8;79.3
2012;BE;F;ED0-2;30.1;61.7
2012;BE;M;ED0-2;32.7;72.7
2012;BG;F;ED0-2;22.9;60.2
2012;BG;M;ED0-2;23;65.8
2012;CY;F;ED0-2;26.4;64.8
2012;CY;M;ED0-2;26.4;76.1
2012;CZ;F;ED0-2;15.3;62.5
2012;CZ;M;ED0-2;11.6;80.2
2012;DE;F;ED0-2;19.5;71.6
2012;DE;M;ED0-2;16.3;82.1
2012;DK;F;ED0-2;29;71.1
2012;DK;M;ED0-2;31.1;77.5
2012;EE;F;ED0-2;13.8;69.4
2012;EE;M;ED0-2;19.9;75.1
2012;EL;F;ED0-2;34.1;45.2
2012;EL;M;ED0-2;37.7;65
2012;ES;F;ED0-2;44.2;54.6
2012;ES;M;ED0-2;48.6;64.6
2012;FI;F;ED0-2;19.6;72.5
2012;FI;M;ED0-2;24;75.5
2012;FR;F;ED0-2;30.5;64.6
2012;FR;M;ED0-2;30.2;73.5
2012;HR;F;ED0-2;26;52.6
2012;HR;M;ED0-2;20.3;63.7
2012;HU;F;ED0-2;25;56.2
2012;HU;M;ED0-2;21.9;67.3
2012;IE;F;ED0-2;25.6;60.2
2012;IE;M;ED0-2;30.9;68.8
2012;IT;F;ED0-2;42.5;50.5
2012;IT;M;ED0-2;46;71.5
2012;LT;F;ED0-2;13.3;67.9
2012;LT;M;ED0-2;16.8;69.1
2012;LU;F;ED0-2;29.5;64.1
2012;LU;M;ED0-2;27.3;78.5
2012;LV;F;ED0-2;13.7;66.4
2012;LV;M;ED0-2;21.5;70
2012;MT;F;ED0-2;57.4;48
2012;MT;M;ED0-2;56.4;79.4
2012;NL;F;ED0-2;31.2;71
2012;NL;M;ED0-2;30.3;82.3
2012;PL;F;ED0-2;16.1;57.5
2012;PL;M;ED0-2;17.3;72
2012;PT;F;ED0-2;57.8;63
2012;PT;M;ED0-2;65.6;69.8
2012;RO;F;ED0-2;32.2;56.7
2012;RO;M;ED0-2;26.3;72.8
2012;SE;F;ED0-2;23.1;76.8
2012;SE;M;ED0-2;24.5;81.9
2012;SI;F;ED0-2;19.8;64.6
2012;SI;M;ED0-2;18.4;71.8
2012;SK;F;ED0-2;16.2;57.3
2012;SK;M;ED0-2;13.8;72.8
2013;AT;F;ED0-2;25.4;70
2013;AT;M;ED0-2;18.9;79.1
2013;BE;F;ED0-2;29;62.1
2013;BE;M;ED0-2;31.8;72.3
2013;BG;F;ED0-2;21.9;60.7
2013;BG;M;ED0-2;22.3;66.4
2013;CY;F;ED0-2;25;62.2
2013;CY;M;ED0-2;25.9;72.6
2013;CZ;F;ED0-2;14.4;63.8
2013;CZ;M;ED0-2;11.4;81
2013;DE;F;ED0-2;19.1;72.5
2013;DE;M;ED0-2;16.2;82.1
2013;DK;F;ED0-2;28.6;71.2
2013;DK;M;ED0-2;31.1;77.5
2013;EE;F;ED0-2;12.6;70.1
2013;EE;M;ED0-2;19.2;76.7
2013;EL;F;ED0-2;32.9;43.3
2013;EL;M;ED0-2;36.2;62.7
2013;ES;F;ED0-2;43.2;53.8
2013;ES;M;ED0-2;48;63.4
2013;FI;F;ED0-2;18.6;71.9
