Year;Country;Genre;ISCED11;Percentage
2015;EE;M;ED3_4;54.8
2015;EE;M;ED5_8;24.8
2015;EE;F;ED0-2;14.1
2015;EE;F;ED3_4;44.3
2015;EE;F;ED5_8;41.6
2015;IE;M;ED0-2;26
2015;IE;M;ED3_4;39
2015;IE;M;ED5_8;35
2015;IE;F;ED0-2;21
2015;IE;F;ED3_4;36.1
2015;IE;F;ED5_8;42.9
2015;EL;M;ED0-2;33
2015;EL;M;ED3_4;42.8
2015;EL;M;ED5_8;24.3
2015;EL;F;ED0-2;30.1
2015;EL;F;ED3_4;43.3
2015;EL;F;ED5_8;26.6
2015;ES;M;ED0-2;46.1
2015;ES;M;ED3_4;24.3
2015;ES;M;ED5_8;29.6
2015;ES;F;ED0-2;40.9
2015;ES;F;ED3_4;24.5
2015;ES;F;ED5_8;34.6
2015;FR;M;ED0-2;25.7
2015;FR;M;ED3_4;46.3
2015;FR;M;ED5_8;28
2015;FR;F;ED0-2;26.1
2015;FR;F;ED3_4;41
2015;FR;F;ED5_8;32.8
2015;HR;M;ED0-2;17.8
2015;HR;M;ED3_4;65
2015;HR;M;ED5_8;17.1
2015;HR;F;ED0-2;23
2015;HR;F;ED3_4;54.8
2015;HR;F;ED5_8;22.2
2015;IT;M;ED0-2;43.9
2015;IT;M;ED3_4;42.8
2015;IT;M;ED5_8;13.3
2015;IT;F;ED0-2;39.8
2015;IT;F;ED3_4;42.5
2015;IT;F;ED5_8;17.6
2015;CY;M;ED0-2;26.4
2015;CY;M;ED3_4;41.6
2015;CY;M;ED5_8;32.1
2015;CY;F;ED0-2;24.8
2015;CY;F;ED3_4;34.9
2015;CY;F;ED5_8;40.4
2015;LV;M;ED0-2;19.1
2015;LV;M;ED3_4;61.4
2015;LV;M;ED5_8;19.5
2015;LV;F;ED0-2;12.3
2015;LV;F;ED3_4;51.6
2015;LV;F;ED5_8;36.2
2015;LT;M;ED0-2;16
2015;LT;M;ED3_4;57.6
2015;LT;M;ED5_8;26.4
2015;LT;F;ED0-2;11.7
2015;LT;F;ED3_4;48.7
2015;LT;F;ED5_8;39.6
2015;LU;M;ED0-2;30.5
2015;LU;M;ED3_4;34.5
2015;LU;M;ED5_8;35
2015;LU;F;ED0-2;30.1
2015;LU;F;ED3_4;34.5
2015;LU;F;ED5_8;35.5
2015;HU;M;ED0-2;20.8
2015;HU;M;ED3_4;61.3
2015;HU;M;ED5_8;18
2015;HU;F;ED0-2;23
2015;HU;F;ED3_4;53.1
2015;HU;F;ED5_8;23.9
2015;MT;M;ED0-2;51.3
2015;MT;M;ED3_4;30.4
2015;MT;M;ED5_8;18.4
2015;MT;F;ED0-2;49.5
2015;MT;F;ED3_4;29
2015;MT;F;ED5_8;21.6
2015;NL;M;ED0-2;28.3
2015;NL;M;ED3_4;41.4
2015;NL;M;ED5_8;30.3
2015;NL;F;ED0-2;28.5
2015;NL;F;ED3_4;40.8
2015;NL;F;ED5_8;30.7
2015;AT;M;ED0-2;16.6
2015;AT;M;ED3_4;54.8
2015;AT;M;ED5_8;28.6
2015;AT;F;ED0-2;22.5
2015;AT;F;ED3_4;49.8
2015;AT;F;ED5_8;27.7
2015;PL;M;ED0-2;15.9
2015;PL;M;ED3_4;64.3
2015;PL;M;ED5_8;19.8
2015;PL;F;ED0-2;14.6
2015;PL;F;ED3_4;56.3
2015;PL;F;ED5_8;29.1
2015;PT;M;ED0-2;58.1
2015;PT;M;ED3_4;25.3
2015;PT;M;ED5_8;16.6
2015;PT;F;ED0-2;50.9
2015;PT;F;ED3_4;24.5
2015;PT;F;ED5_8;24.6
2015;RO;M;ED0-2;27.4
2015;RO;M;ED3_4;58.3
2015;RO;M;ED5_8;14.2
2015;RO;F;ED0-2;31.4
2015;RO;F;ED3_4;52.8
2015;RO;F;ED5_8;15.8
