Year,Country,code,ISCED11,AVG
2009,Cyprus,CY,5-8,30,4
2009,Liatvia,LV,0-2,21,7
2009,Liatvia,LV,3-4,57,15
2009,Liatvia,LV,5-8,21,2
2009,Lithuania,LT,0-2,18,1
2009,Lithuania,LT,3-4,56,55
2009,Lithuania,LT,5-8,25,3
2009,Luxembourg,LU,0-2,28,6
2009,Luxembourg,LU,3-4,41,25
2009,Luxembourg,LU,5-8,30,2
2009,Hungary,HU,0-2,24,95
2009,Hungary,HU,3-4,58,2
2009,Hungary,HU,5-8,16,85
2009,Malta,MT,0-2,62,0
2009,Malta,MT,3-4,25,15
2009,Malta,MT,5-8,12,8
2009,Netherland,0-2,32,6
2009,Netherland,3-4,40,65
2009,Netherland,5-8,26,75
2009,Austria,AT,0-2,23,8
2009,Austria,AT,3-4,60,25
2009,Austria,AT,5-8,16,0
2009,Poland,PL,0-2,18,7
2009,Poland,PL,3-4,63,3
2009,Poland,PL,5-8,18,05
2009,Portugal,PT,0-2,69,3
2009,Portugal,PT,3-4,17,65
2009,Portugal,PT,5-8,13,05
2009,Romania,RO,0-2,30,2
2009,Romania,RO,3-4,58,6
2009,Romania,RO,5-8,11,25
2009,Slovenia,SI,0-2,20,85
2009,Slovenia,SI,3-4,59,4
2009,Slovenia,SI,5-8,19,7
2009,Slovakia,SK,0-2,16,5
2009,Slovakia,SK,3-4,70,1
2009,Slovakia,SK,5-8,13,45
2009,Finland,Fi,0-2,24,35
2009,Finland,Fi,3-4,44,7
2009,Finland,Fi,5-8,30,9
2009,Sweden,SE,0-2,25,4
2009,Sweden,SE,3-4,46,9
2009,Sweden,SE,5-8,27,65
2009,Switzerlan,0-2,20,55
2009,Switzerlan,3-4,49,95
2009,Switzerlan,5-8,29,5
2010,Belgium,BE,0-2,32,55
2010,Belgium,BE,3-4,36,75
2010,Belgium,BE,5-8,30,75
2010,Bulgaria,BG,0-2,25,15
2010,Bulgaria,BG,3-4,55,1
2010,Bulgaria,BG,5-8,19,75
2010,Czechia,CZ,0-2,14,45
2010,Czechia,CZ,3-4,71,05
2010,Czechia,CZ,5-8,14,55
2010,Denmark,DK,0-2,32,15
2010,Denmark,DK,3-4,40,55
2010,Denmark,DK,5-8,27,4
2010,Germany,DE,0-2,21,0
2010,Germany,DE,3-4,56,35
2010,Germany,DE,5-8,22,65
2010,Estonia,EE,0-2,18,25
2010,Estonia,EE,3-4,51,9
2010,Estonia,EE,5-8,29,85
2010,Ireland,IE,0-2,29,9
2010,Ireland,IE,3-4,36,25
2010,Ireland,IE,5-8,33,85
2010,Greece,EL,0-2,38,55
2010,Greece,EL,3-4,40,55
2010,Greece,EL,5-8,20,9
2010,Spain,ES,0-2,48,1
2010,Spain,ES,3-4,23,45
2010,Spain,ES,5-8,28,45
2010,France,FR,0-2,31,9
2010,France,FR,3-4,41,9
2010,France,FR,5-8,26,15
2010,Croatia,HR,0-2,25,4
2010,Croatia,HR,3-4,58,85
2010,Croatia,HR,5-8,15,75
2010,Italy,IT,0-2,46,25
2010,Italy,IT,3-4,40,7
2010,Italy,IT,5-8,13,0
2010,Cyprus,CY,0-2,29,6
2010,Cyprus,CY,3-4,38,4
2010,Cyprus,CY,5-8,31,95
2010,Liatvia,LV,0-2,19,7
2010,Liatvia,LV,3-4,57,9
2010,Liatvia,LV,5-8,22,4
2010,Lithuania,LT,0-2,17,2
2010,Lithuania,LT,3-4,56,15
2010,Lithuania,LT,5-8,26,7
2010,Luxembourg,LU,0-2,28,9
2010,Luxembourg,LU,3-4,40,8
